PMERELG	clswrkr	GEDIV	A_ERNLWT	educ	marstat	sex	union	ERN_SRCE	ERN_VAL	WEWKRS	WEXP	WEMIND	WEIND	WEMOCG	POCCU2	occ	ind	PMHRUSLT	race	hispanic	age	disabled	HEFAMINC	PTFT	hrwage
1	1	1	2364.48	40	7	2	2	1	802	4	10	10	15	16	39	4	10	12	1	2	21	2	3	1	7.25
1	1	1	2140.15	43	7	1	2	1	50000	1	1	5	7	16	39	4	5	40	1	2	25	2	13	2	12.5
1	1	1	2400.41	37	7	1	2	1	6000	2	7	5	7	16	39	4	5	-4	1	2	21	2	14	1	9.8
1	1	1	0	44	6	2	0	1	42002	1	1	10	16	10	25	2	10	40	1	2	54	2	11	2	NA
1	1	1	0	39	1	2	0	1	24000	1	1	4	4	21	49	9	4	40	6	2	55	2	8	2	NA
1	1	1	2022.36	43	1	1	2	1	65335	3	3	9	14	2	6	1	9	40	1	2	56	2	15	2	25
1	1	1	2000.25	39	5	1	2	1	30000	1	1	3	3	19	44	7	3	40	1	2	50	2	13	2	26
1	1	1	1930.47	40	1	1	2	1	34000	1	1	10	15	17	40	5	4	40	1	2	40	2	10	2	12.925
1	1	1	2028.32	43	3	2	2	1	6000	3	5	12	20	17	40	5	12	40	1	2	26	2	4	2	5.75
1	1	1	2042.07	44	1	1	2	1	110000	1	1	9	13	3	8	2	9	50	1	2	38	2	16	2	46.92
1	1	1	2179.26	42	7	2	2	1	42000	1	1	4	4	22	50	10	4	40	1	2	45	1	11	2	22
1	1	1	0	40	1	1	0	1	62000	1	1	6	8	22	51	10	6	-4	1	2	41	2	14	1	NA
1	4	1	0	39	1	1	0	1	26000	1	1	10	15	14	35	3	10	40	1	2	34	2	15	2	NA
1	1	1	1397.98	39	5	2	2	1	42000	1	1	4	5	17	40	5	4	42	1	2	37	2	14	2	22.07
1	1	1	0	43	1	1	0	1	70000	1	1	4	4	20	48	8	4	50	1	2	51	2	15	2	NA
1	1	1	1243.79	40	1	1	2	1	41600	1	1	3	3	19	45	7	3	40	1	2	45	2	12	2	19.5
1	1	1	1454.33	39	1	2	2	1	40000	1	1	4	4	21	49	9	4	40	1	2	32	2	11	2	9.8
1	1	1	0	39	7	2	0	2	20782	1	1	10	16	15	37	3	10	99	1	2	49	2	7	2	NA
1	1	1	0	42	1	2	0	1	60000	1	1	10	16	10	25	2	10	48	1	2	38	2	12	2	NA
1	1	1	1329.71	43	1	2	2	1	2000	4	9	11	17	15	37	3	11	3	1	2	42	2	15	1	25
1	1	1	1827.4	40	7	1	2	1	3600	4	11	9	14	14	35	3	11	28	6	2	20	2	14	1	4.5
1	1	1	1373.51	42	7	2	2	1	62379	1	1	4	4	4	12	2	4	40	1	2	53	2	14	2	15.28
1	1	1	1220.38	39	5	2	2	1	38500	1	1	10	16	1	3	1	10	40	1	2	55	2	14	2	20
1	1	1	1304.88	39	5	1	2	1	47840	1	1	10	16	12	29	3	10	40	1	2	56	2	14	2	23
1	4	1	0	44	1	2	0	1	35000	2	7	10	15	8	21	2	10	40	1	2	48	2	16	2	NA
1	1	1	0	43	1	1	0	1	75000	1	1	4	4	4	12	2	4	60	1	2	31	2	15	2	NA
1	1	1	1477.46	39	1	2	2	1	2711	4	11	10	16	15	37	3	10	-4	1	2	32	2	11	1	4.65
1	1	1	1352	39	1	2	2	1	15000	1	1	11	18	13	32	3	10	55	1	2	50	2	12	2	14.672727
1	1	1	1691.23	40	7	2	2	1	500	4	12	11	17	13	33	2	12	-4	1	2	21	2	9	1	8.25
1	1	1	1352	39	1	2	2	1	40000	1	1	5	7	16	38	4	5	55	1	2	50	2	15	2	13.981818
1	1	1	1308.89	43	1	2	2	1	65000	1	1	9	13	1	1	1	9	40	1	2	40	2	14	2	31.25
1	1	1	1201.27	39	5	2	2	1	24880	3	4	10	16	17	40	5	10	-4	1	2	55	2	10	1	7.25
1	1	1	0	39	1	1	0	1	40000	3	4	2	2	19	47	7	3	40	1	2	36	2	14	2	NA
1	1	1	1502.93	39	1	1	2	1	20000	1	1	9	14	12	31	3	9	40	1	2	37	1	13	2	11
1	1	1	14767.37	41	1	2	2	1	65000	1	1	10	16	17	40	5	10	40	1	2	61	2	15	2	10
1	1	1	16656.63	41	7	2	2	1	3500	4	11	10	16	17	40	5	10	23	1	2	24	2	13	1	12
1	1	1	0	39	7	1	0	1	7000	1	1	4	5	22	51	10	4	35	1	1	20	2	3	2	NA
1	1	1	0	39	1	2	0	1	54920	2	7	8	11	2	5	1	8	-4	1	2	45	2	16	1	NA
1	1	1	12260.42	40	5	2	2	1	34000	1	1	10	16	17	40	5	10	61	1	2	57	2	11	2	15
1	1	1	16772.25	43	1	1	0	1	70000	1	1	7	10	9	23	2	11	40	1	2	39	2	11	2	24.025
1	1	1	13123.47	43	7	1	2	1	108000	1	1	4	4	5	14	2	4	40	1	2	53	1	15	2	51.925
1	1	1	0	44	1	1	0	1	115000	1	1	4	4	3	8	2	4	40	4	2	47	2	16	2	NA
1	1	1	0	44	1	2	0	1	40000	1	1	5	7	17	40	5	5	40	1	2	49	2	16	2	NA
1	1	1	12891.05	39	5	2	2	1	29000	1	1	5	7	17	40	5	5	35	1	2	41	2	8	2	15.2
1	1	1	13798.84	39	1	2	2	1	45000	1	1	8	11	2	7	1	8	40	1	2	54	2	16	2	13.45
1	1	1	16196.44	40	7	1	2	1	28000	2	7	5	7	16	39	4	5	32	2	2	32	2	7	1	10.4
1	1	1	15520.82	33	7	2	2	1	14000	2	7	4	5	16	39	4	4	27	2	1	41	2	4	1	7.5
1	1	1	12631.61	41	1	1	2	1	36000	3	3	11	18	13	32	3	11	40	4	2	48	2	12	2	17.67
1	4	1	0	44	1	1	0	1	170000	1	1	13	21	12	30	3	13	80	1	2	32	2	16	2	NA
1	1	1	0	39	1	1	0	1	33000	1	1	4	4	16	39	4	4	50	1	2	40	2	11	2	NA
1	1	1	12134.34	39	5	1	2	1	120000	1	1	9	13	16	39	4	9	40	1	2	57	2	16	2	57.7
1	1	1	15477.39	39	1	1	0	1	91000	1	1	10	16	20	48	8	10	40	1	2	42	2	11	2	25.5
1	4	1	0	44	1	2	0	1	64000	1	1	10	15	5	15	2	10	40	1	2	36	2	16	2	NA
1	1	1	12134.34	39	5	1	2	1	35000	1	1	4	4	20	48	8	9	45	1	2	55	2	13	2	23.488889
1	1	1	13779.48	39	1	2	2	1	16612	2	7	5	7	16	38	4	5	24	1	2	45	2	14	1	13.6
1	1	1	0	42	1	2	0	1	37000	1	1	10	16	1	3	1	10	40	1	1	46	2	11	2	NA
1	1	1	0	39	3	2	0	1	12500	2	7	12	20	16	39	4	12	30	1	2	46	2	13	1	NA
1	1	1	18300.98	40	7	1	2	1	5408	2	7	11	18	13	33	3	11	25	1	2	21	2	12	1	7.5
1	4	1	13798.84	41	5	2	2	1	21672	3	5	10	15	8	21	2	10	35	1	2	53	2	15	2	17.2
1	1	1	13268.52	43	5	1	2	1	46434	1	1	8	11	1	1	1	8	40	1	2	55	2	11	2	23.175
1	1	1	10047.09	39	1	2	2	0	0	5	13	15	23	24	53	9	9	-4	1	1	42	2	11	1	9.5
1	1	1	0	39	1	2	0	1	43967	1	1	4	4	17	40	5	4	40	1	2	41	2	13	2	NA
1	1	1	1525.03	39	1	1	0	1	60000	1	1	4	4	2	5	1	4	40	1	2	60	2	13	2	30
1	1	1	0	35	1	1	0	1	12000	2	7	11	18	13	33	3	11	25	1	1	50	2	4	1	NA
1	1	1	2036.87	45	1	2	2	1	60000	2	7	10	16	10	25	2	10	28	1	2	61	2	14	1	25
1	1	1	2191.9	40	1	2	2	1	32000	1	1	10	15	1	1	1	10	37	1	2	40	2	15	2	16.621622
1	1	1	2422.53	37	7	2	2	1	5500	2	7	11	18	13	33	3	11	20	1	2	27	2	13	1	11.33
1	1	1	2012.81	43	5	1	2	1	25000	1	1	4	5	21	49	9	4	40	1	2	32	2	12	2	12.5
1	1	1	1537.84	40	1	1	0	1	60000	1	1	6	8	22	51	10	6	40	1	2	49	2	13	2	19
1	3	1	2832.17	42	7	2	2	1	10000	2	7	11	17	13	33	3	11	35	1	2	23	2	14	2	8
1	1	1	1760.55	39	1	2	2	1	20000	2	7	6	8	22	51	10	6	25	1	2	63	2	12	1	16
1	1	1	1537.84	44	1	1	2	1	110000	1	1	9	13	3	8	2	9	45	1	2	45	2	15	2	29.911111
1	1	1	2370.04	43	7	2	2	1	37000	1	1	5	7	1	1	1	5	50	1	2	25	2	10	2	14.24
1	1	1	1681.14	46	1	1	2	1	409068	1	1	10	16	10	24	2	10	46	4	2	51	2	16	2	55.47
1	1	1	1691.09	43	1	2	2	1	106201	1	1	10	16	10	25	2	10	50	1	2	57	2	14	2	37
1	4	1	1525.03	40	1	1	2	1	5460	2	7	13	21	19	46	7	13	3	1	2	61	2	15	1	35
1	1	1	2191.9	42	5	2	2	1	69680	1	1	11	17	2	6	1	11	45	1	2	40	2	13	2	30.8
1	1	1	2107.28	43	7	1	2	1	33000	1	1	10	15	9	23	2	10	40	1	2	28	2	13	2	18.62
1	1	1	0	37	7	2	0	1	4942	2	7	11	18	13	32	3	11	17	1	2	20	2	15	1	NA
1	1	1	0	40	1	1	0	1	49000	1	1	5	6	16	38	4	5	40	1	2	36	2	13	2	NA
1	1	1	1588.11	40	1	1	2	1	110000	1	1	4	4	21	49	9	4	60	1	2	55	2	15	2	19.5
1	1	1	2036.87	44	1	2	2	1	49500	3	3	10	15	8	21	2	10	60	1	2	61	2	15	2	19.65
1	1	1	1588.11	40	1	1	2	1	34000	1	1	5	7	16	38	4	5	60	1	2	59	2	13	2	18
1	1	1	0	41	1	1	0	1	65000	1	1	11	18	13	32	3	11	60	1	2	41	2	14	2	NA
1	1	1	4184.47	44	1	1	2	1	115000	1	1	4	4	1	1	1	4	40	1	2	57	2	15	2	55.3
1	1	1	3935.28	39	1	1	2	1	60000	1	1	5	7	16	39	4	5	50	1	2	60	2	14	2	13.1
1	1	1	4490.19	42	7	2	2	1	65000	1	1	10	16	3	8	2	10	45	1	2	48	2	13	2	30
1	1	1	4349.17	45	5	2	2	1	50000	1	1	9	13	7	18	2	9	40	1	2	38	2	15	2	24.025
1	1	1	0	39	1	1	0	1	80000	1	1	4	4	20	48	8	4	40	1	2	59	2	15	2	NA
1	1	1	0	44	1	2	0	1	58000	1	1	10	15	3	8	2	10	35	1	2	40	2	15	2	NA
1	1	1	4338.11	43	1	1	2	1	45002	1	1	7	10	4	12	2	7	40	4	2	51	2	14	2	21.57
1	1	1	3968.32	45	7	1	2	1	100000	1	1	10	16	10	24	2	10	35	1	2	48	2	16	2	54.942857
1	1	1	3935.28	43	1	1	2	1	48000	3	2	4	4	4	12	2	4	40	1	2	61	2	14	2	67.3
1	4	1	4500.49	44	7	2	0	1	42000	3	3	10	15	8	21	2	10	40	1	2	27	2	14	2	26.25
1	1	1	0	33	3	1	0	1	15600	1	1	11	18	13	32	3	11	-4	1	1	33	2	11	1	NA
1	1	1	0	33	5	2	0	1	24000	1	1	11	18	13	32	3	11	28	1	1	37	2	11	1	NA
1	1	1	0	39	7	2	0	1	7000	4	9	5	7	16	39	4	11	40	1	2	19	2	15	2	NA
1	1	1	0	39	5	2	0	1	8000	2	7	11	18	13	32	3	11	14	2	2	49	2	4	1	NA
1	1	1	0	43	1	1	0	1	30000	3	4	10	15	8	21	2	10	60	1	2	31	2	12	2	NA
1	1	1	0	40	7	2	0	0	0	5	13	15	23	24	53	3	5	18	1	2	18	2	13	1	NA
1	1	1	0	43	1	1	0	1	110000	1	1	8	11	3	8	2	8	45	1	2	59	2	15	2	NA
1	1	1	0	41	1	2	0	1	105000	1	1	8	12	16	39	4	8	40	1	2	40	2	14	2	NA
1	1	1	0	39	1	1	0	1	60000	3	3	3	3	19	47	7	3	40	1	2	39	2	15	2	NA
1	1	1	4247.18	43	1	2	0	1	100000	1	1	10	16	6	17	2	10	60	1	2	53	2	15	2	32.05
1	1	1	3968.32	43	1	1	0	1	72000	1	1	4	4	20	48	8	4	50	1	2	48	2	14	2	29
1	1	1	0	39	7	2	0	1	12000	4	10	5	7	22	51	10	5	15	1	2	19	1	14	1	NA
1	1	1	0	43	1	1	0	1	88000	1	1	9	13	17	40	5	9	40	1	2	40	2	14	2	NA
1	1	1	3972.4	43	1	1	2	1	72000	1	1	4	4	5	13	2	4	40	1	2	35	2	13	2	34.625
1	4	1	4072.03	44	1	2	0	1	60000	1	1	10	15	8	21	2	10	40	1	2	43	2	15	2	30.3
1	1	1	4397.47	39	5	2	2	1	35000	1	1	4	4	22	51	10	4	40	1	2	49	2	11	2	12.17
1	1	1	3968.32	39	1	1	2	1	32000	1	1	5	7	17	40	5	5	55	1	2	47	2	14	2	15
1	1	1	0	43	7	1	0	1	65002	1	1	7	10	1	1	1	7	40	2	2	29	2	15	2	NA
1	1	1	0	39	7	2	0	1	13433	2	7	5	7	22	51	10	5	20	2	2	37	1	3	1	NA
1	1	1	0	39	5	2	0	1	35000	1	1	11	17	15	36	3	11	50	1	2	43	2	15	2	NA
1	1	1	0	39	1	2	0	1	19000	1	1	4	4	21	49	9	4	40	4	2	44	2	8	2	NA
1	1	1	0	40	7	2	0	1	1200	4	12	10	15	13	33	3	10	10	4	2	21	2	8	1	NA
1	2	1	3968.32	44	1	1	2	1	47000	1	1	14	22	23	52	1	10	40	1	2	49	2	16	2	26.425
1	1	1	4247.18	46	1	2	2	1	115000	1	1	13	21	7	18	2	4	40	1	2	51	2	16	2	36.05
1	1	1	0	42	1	2	0	1	39000	1	1	11	17	15	37	3	11	40	4	2	53	2	11	2	NA
1	1	1	0	42	1	1	0	1	17500	1	1	11	17	14	35	3	11	40	4	2	55	2	11	2	NA
1	4	1	0	40	5	2	0	1	51000	1	1	11	17	1	3	1	11	50	1	2	35	2	12	2	NA
1	1	1	4152.71	44	1	1	2	1	100000	1	1	5	6	17	40	5	5	65	1	2	57	2	14	2	29.584615
1	1	1	5331.66	40	7	2	2	1	2000	3	5	8	11	17	40	5	8	8	1	2	22	2	14	1	10
1	4	1	4021.24	40	5	1	0	1	75000	1	1	3	3	1	2	1	3	40	1	2	48	2	13	2	9
1	3	1	5331.66	40	7	2	2	1	8000	2	7	8	11	17	40	5	10	10	1	2	22	2	13	1	10
1	1	2	13635.98	40	1	2	2	1	21000	2	7	6	8	17	40	5	6	20	1	2	28	2	13	1	9.75
1	4	2	12895.18	40	1	1	0	1	75000	1	1	13	21	12	30	3	13	40	1	2	50	2	15	2	36.05
1	1	2	0	39	7	1	0	1	1000	2	7	12	20	14	35	3	12	4	1	2	22	1	5	1	NA
1	3	2	12952.48	42	5	2	0	1	70000	1	1	13	21	3	8	2	13	38	1	2	62	2	14	2	35.421053
1	1	2	12786.89	39	1	1	0	1	50000	1	1	3	3	19	42	7	3	40	1	2	48	2	15	2	24.05
1	1	2	15661.06	40	7	1	2	1	3000	2	7	11	18	13	33	3	11	8	1	2	20	2	15	1	9
1	1	2	12531.25	41	1	2	2	1	20000	2	7	10	16	10	25	2	10	30	1	2	48	2	15	1	12.833333
1	1	2	13810.89	45	7	2	2	1	80000	1	1	10	16	10	24	2	10	40	1	2	28	2	14	2	38.45
1	1	2	13810.89	43	1	2	2	1	50000	1	1	10	15	8	21	2	10	40	1	2	27	2	12	2	27.4
1	3	2	12845.26	45	1	1	2	1	151200	1	1	13	21	7	18	2	13	45	1	2	63	2	16	2	50
1	1	2	14070.2	41	7	1	2	1	40000	1	1	8	11	2	6	1	8	40	4	2	27	2	16	2	18
1	3	2	0	44	1	2	0	1	30000	1	1	13	21	6	17	2	10	50	2	2	56	2	16	2	NA
1	2	2	13045.92	39	7	1	0	1	25000	1	1	13	21	12	31	3	13	50	1	2	39	2	11	2	35
1	1	2	12102.98	39	5	2	2	1	45000	1	1	8	12	16	39	4	8	40	1	2	51	1	7	2	38.45
